"date","year","rep","store","paper","paper.type","unit.price","units.sold","total.sale"
"744",2012-01-03,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"3487",2012-01-03,2012,"Qiaoli","Portland","drawing","roll",20.99,1,20.99
"9798",2012-01-03,2012,"Barakat","Portland","drawing","pads",10.26,1,10.26
"829",2012-01-04,2012,"Thomas","Davenport","watercolor","pad",12.15,2,24.3
"842",2012-01-04,2012,"Arinjay","Portland","drawing","pads",10.26,1,10.26
"1231",2012-01-04,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"1371",2012-01-04,2012,"Aman","Portland","drawing","sheet",0.36,16,5.76
"1509",2012-01-04,2012,"Mohit","Davenport","drawing","pads",10.26,2,20.52
"2168",2012-01-04,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"2988",2012-01-04,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"6885",2012-01-04,2012,"Mohit","Davenport","watercolor","pad",12.15,4,48.6
"7381",2012-01-04,2012,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"9095",2012-01-04,2012,"Arinjay","Portland","watercolor","block",19.34,1,19.34
"681",2012-01-05,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"3970",2012-01-05,2012,"Patrick","Syracuse","drawing","pads",10.26,2,20.52
"9799",2012-01-05,2012,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"3063",2012-01-06,2012,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"4479",2012-01-06,2012,"Arijit","Syracuse","watercolor","pad",12.15,1,12.15
"355",2012-01-07,2012,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"1214",2012-01-07,2012,"Yue","Dublin","watercolor","pad",12.15,1,12.15
"1530",2012-01-07,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"2417",2012-01-07,2012,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"5658",2012-01-07,2012,"Mohit","Davenport","drawing","journal",24.94,1,24.94
"6423",2012-01-07,2012,"Aman","Portland","watercolor","block",19.34,1,19.34
"9398",2012-01-07,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"9679",2012-01-07,2012,"Aman","Portland","drawing","pads",10.26,2,20.52
"9957",2012-01-07,2012,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"192",2012-01-08,2012,"Qiaoli","Portland","watercolor","block",19.34,1,19.34
"764",2012-01-08,2012,"Mohit","Davenport","drawing","roll",20.99,1,20.99
"1899",2012-01-08,2012,"Thomas","Davenport","watercolor","block",19.34,1,19.34
"2413",2012-01-08,2012,"Ran","Dublin","watercolor","block",19.34,2,38.68
"2822",2012-01-08,2012,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"3118",2012-01-08,2012,"Patrick","Syracuse","watercolor","pad",12.15,2,24.3
"5620",2012-01-08,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,2,24.3
"7958",2012-01-08,2012,"Ran","Dublin","drawing","roll",20.99,1,20.99
"8728",2012-01-08,2012,"Yunzhu","Syracuse","watercolor","sheet",0.77,9,6.93
"9310",2012-01-08,2012,"Barakat","Portland","watercolor","roll",97.99,1,97.99
"9505",2012-01-08,2012,"Qiaoli","Portland","watercolor","pad",12.15,1,12.15
"2467",2012-01-09,2012,"Barakat","Portland","drawing","journal",24.94,1,24.94
"2845",2012-01-09,2012,"Aman","Portland","watercolor","pad",12.15,1,12.15
"3210",2012-01-09,2012,"Ran","Dublin","watercolor","block",19.34,1,19.34
"4676",2012-01-09,2012,"Qiaoli","Portland","watercolor","pad",12.15,3,36.45
"7843",2012-01-09,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"9109",2012-01-09,2012,"Patrick","Syracuse","drawing","journal",24.94,1,24.94
"2013",2012-01-10,2012,"Ran","Dublin","watercolor","sheet",0.77,8,6.16
"2297",2012-01-10,2012,"Yunzhu","Syracuse","watercolor","pad",12.15,1,12.15
"2833",2012-01-11,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"9101",2012-01-11,2012,"Arinjay","Portland","watercolor","sheet",0.77,10,7.7
"9478",2012-01-11,2012,"Yunzhu","Syracuse","drawing","pads",10.26,1,10.26
"9930",2012-01-11,2012,"Arijit","Syracuse","drawing","journal",24.94,1,24.94
"21",2012-01-12,2012,"Ran","Dublin","drawing","journal",24.94,1,24.94
"2229",2012-01-12,2012,"Ran","Dublin","drawing","pads",10.26,2,20.52
"6083",2012-01-12,2012,"Thomas","Davenport","drawing","journal",24.94,1,24.94
"7996",2012-01-12,2012,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"8416",2012-01-12,2012,"Qiaoli","Portland","drawing","journal",24.94,1,24.94
"4060",2012-01-13,2012,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"4346",2012-01-13,2012,"Thomas","Davenport","drawing","pads",10.26,3,30.78
"5009",2012-01-13,2012,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"8480",2012-01-13,2012,"Aman","Portland","drawing","roll",20.99,1,20.99
"346",2012-01-14,2012,"Ran","Dublin","watercolor","sheet",0.77,7,5.39
"487",2012-01-14,2012,"Thomas","Davenport","drawing","pads",10.26,1,10.26
"2166",2012-01-14,2012,"Arinjay","Portland","watercolor","pad",12.15,1,12.15
"2607",2012-01-14,2012,"Ruisi","Dublin","drawing","pads",10.26,1,10.26
"2827",2012-01-14,2012,"Yunzhu","Syracuse","drawing","journal",24.94,1,24.94
"4633",2012-01-14,2012,"Yunzhu","Syracuse","watercolor","block",19.34,1,19.34
"5040",2012-01-14,2012,"Aman","Portland","drawing","roll",20.99,1,20.99
"5467",2012-01-14,2012,"Ruisi","Dublin","watercolor","block",19.34,1,19.34
"5722",2012-01-14,2012,"Ruisi","Dublin","watercolor","pad",12.15,1,12.15
"7949",2012-01-14,2012,"Arijit","Syracuse","drawing","roll",20.99,1,20.99
"9796",2012-01-14,2012,"Yue","Dublin","watercolor","sheet",0.77,6,4.62
"319",2012-01-15,2012,"Patrick","Syracuse","watercolor","pad",12.15,1,12.15
"3924",2012-01-15,2012,"Ran","Dublin","watercolor","pad",12.15,1,12.15
"5936",2012-01-15,2012,"Yue","Dublin","watercolor","pad",12.15,1,12.15
